annee,base_nette,taux_vote,montant_reel,nb_articles,base_metro,taux_metro,base_exo_neuf
2019,974287018,24.02,233936003,330798,964907482,2.5899999961257,2314590
2020,996862632,24.02,239349103,334826,990638276,2.5899999961257,1713283
2021,983518989,39.07,385030510,337969,985525094,2.589999996125698,4216916
2022,1018435632,44.540000000000006,454308344,340483,1020935020,2.589999996125698,5084103
