year,nb_lv,nb_lv_sup2,nb_lv_inf2,nb_lp,n_arr_used,CODGEO_25,LIBGEO_25
2020,54725,11613,43112,396073,16,13055,Marseille
2021,53667,11729,41938,391898,16,13055,Marseille
2022,52193,10812,41381,394894,16,13055,Marseille
2023,60144,10718,49426,397787,16,13055,Marseille
2024,55107,14529,40578,400146,16,13055,Marseille
2025,33376,17915,15461,NA,16,13055,Marseille
