annee,base_nette,taux_vote,montant_reel,nb_articles,base_metro,taux_metro,base_exo_neuf,base_par_article,taux_total,recettes_implicites,croissance_base,taux_ref,recettes_si_taux_cst,effet_base,effet_taux,index_base,index_recettes,index_taux,part_exo_neuf,year,nb_lv,nb_lv_sup2,nb_lv_inf2,nb_lp,n_arr_used,CODGEO_25,LIBGEO_25,tx_lv,tx_lv_sup2,tx_lv_inf2,share_structural,base_vacants_estim,recettes_potentielles,gain_10pct,gain_25pct,gain_50pct,gain_1pp_rate
2020,996862632,24.02,239349103,334826,990638276,2.5899999961257,1713283,2977.255744774898,26.6099999961257,265265146.33657855,2.3171420313433666,22.9,228281542.728,32152716.604000002,11067560.272000015,116.39367207738849,122.03505544162316,104.89082969432314,0.17157263401451056,2020,54725,11613,43112,396073,16,13055,Marseille,0.14,0.03,0.11,0.21,34574870.964070894,9200373.16219973,920037.3162199729,2300093.2905499325,4600186.581099865,99686.2632
2021,983518989,39.07,385030510,337969,985525094,2.589999996125698,4216916,2910.0863954978117,41.6599999961257,409734010.7792955,-1.3385638674436762,22.9,225225848.48099998,29097022.356999993,159804661.51900002,114.83566843896969,196.31249520315288,170.6113537117904,0.4269274791625602,2021,53667,11729,41938,391898,16,13055,Marseille,0.14,0.03,0.11,0.22,34132403.33279383,14219559.227119517,1421955.9227119521,3554889.806779879,7109779.613559758,98351.8989
2022,1018435632,44.540000000000006,454308344,340483,1020935020,2.589999996125698,5084103,2991.1497255369577,47.129999996125704,479988713.3221428,3.5501747694268504,22.9,233221759.728,37092933.604,221086584.272,118.91253536619266,231.63464267351782,194.49781659388648,0.49672740311157754,2022,52193,10812,41381,394894,16,13055,Marseille,0.13,0.03,0.1,0.21,32340310.832505587,15241988.494106924,1524198.8494106925,3810497.123526731,7620994.247053462,101843.5632
2023,1084503488,44.54,483494074,345728,1087296951,2.59,5729891,3136.869122547205,47.129999999999995,511126493.89439994,6.48719014968635,22.9,248351298.75199997,52222472.62799999,235142775.24800003,126.62661764721062,246.51534259681873,194.49781659388648,0.5255655449896108,2023,60144,10718,49426,397787,16,13055,Marseille,0.15,0.03,0.12,0.18,33620963.25546094,15845559.98229874,1584555.998229874,3961389.995574685,7922779.99114937,108450.3488
2024,1128490752,44.54,502900789,349502,1130761168,2.59,5185675,3228.8534886781763,47.129999999999995,531857691.4175999,4.055981791365149,22.9,258424382.208,62295556.08400002,244476406.792,131.76257020200305,256.41009261376274,194.49781659388648,0.45742108387334407,2024,55107,14529,40578,400146,16,13055,Marseille,0.14,0.04,0.1,0.26,46912012.33700522,22109631.414430555,2210963.141443056,5527407.853607639,11054815.707215277,112849.07519999999
