annee,base_nette,taux_vote,montant_reel,nb_articles,base_metro,taux_metro,base_exo_neuf
2023,1084503488,44.54,483494074,345728,1087296951,2.59,5729891
2024,1128490752,44.54,502900789,349502,1130761168,2.59,5185675
