annee,base_nette,taux_vote,montant_reel,nb_articles,base_metro,taux_metro,base_exo_neuf
2017,933320679,24.0199999809265,224140338,322051,924103911,2.5899999961257,2334677
2018,951483148,24.019999980926514,228271992,326700,942402651,2.589999996125698,2402512
